obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	ecmwf_dates	ecmwf_mslp_table_h	ecmwf_mslp_table
606	2025-11-03	SERRAI	0	1020.1	2025-11-01	48	1019.22
606	2025-11-05	SERRAI	0	1022.7	2025-11-03	48	1022.66
606	2025-11-06	SERRAI	0	1020.7	2025-11-04	48	1020.63
606	2025-11-07	SERRAI	0	1017.2	2025-11-05	48	1016.87
606	2025-11-08	SERRAI	0	1017.9	2025-11-06	48	1017.87
606	2025-11-09	SERRAI	0	1017.5	2025-11-07	48	1016.94
606	2025-11-10	SERRAI	0	1015.1	2025-11-08	48	1015.95
606	2025-11-11	SERRAI	0	1012	2025-11-09	48	1011.46
606	2025-11-12	SERRAI	0	1018.9	2025-11-10	48	1018.83
606	2025-11-13	SERRAI	0	1023.8	2025-11-11	48	1023.31
606	2025-11-14	SERRAI	0	1023.2	2025-11-12	48	1022.95
606	2025-11-15	SERRAI	0	1021	2025-11-13	48	1021.16
606	2025-11-16	SERRAI	0	1018	2025-11-14	48	1017.55
606	2025-11-17	SERRAI	0	1020.4	2025-11-15	48	1019.38
606	2025-11-18	SERRAI	0	1016.8	2025-11-16	48	1015.78
606	2025-11-19	SERRAI	0	1015.6	2025-11-17	48	1015.15
606	2025-11-20	SERRAI	0	1016.3	2025-11-18	48	1015.48
606	2025-11-21	SERRAI	0	1014	2025-11-19	48	1013.33
613	2025-11-03	FLORINA	0	1021.7	2025-11-01	48	1018.71
613	2025-11-04	FLORINA	0	1020	2025-11-02	48	1018.67
613	2025-11-05	FLORINA	0	1026.8	2025-11-03	48	1024.98
613	2025-11-06	FLORINA	0	1022.7	2025-11-04	48	1021.47
613	2025-11-07	FLORINA	0	1017.2	2025-11-05	48	1016.41
613	2025-11-08	FLORINA	0	1015.7	2025-11-06	48	1015.95
613	2025-11-09	FLORINA	0	1019.2	2025-11-07	48	1016.84
613	2025-11-10	FLORINA	0	1016.5	2025-11-08	48	1014.89
613	2025-11-11	FLORINA	0	1014.6	2025-11-09	48	1012.65
613	2025-11-12	FLORINA	0	1022.5	2025-11-10	48	1020.98
613	2025-11-13	FLORINA	0	1028	2025-11-11	48	1023.76
613	2025-11-14	FLORINA	0	1027.2	2025-11-12	48	1023.26
613	2025-11-15	FLORINA	0	1024.7	2025-11-13	48	1020.74
613	2025-11-16	FLORINA	0	1021.8	2025-11-14	48	1017.18
613	2025-11-17	FLORINA	0	1021.8	2025-11-15	48	1017.81
613	2025-11-18	FLORINA	0	1013.5	2025-11-16	48	1014.94
613	2025-11-19	FLORINA	0	1015.5	2025-11-17	48	1014.39
613	2025-11-20	FLORINA	0	1016.8	2025-11-18	48	1014.48
613	2025-11-21	FLORINA	0	1014.6	2025-11-19	48	1011.04
613	2025-11-22	FLORINA	0	1012.4	2025-11-20	48	1010.75
613	2025-11-23	FLORINA	0	1014.5	2025-11-21	48	1013.49
613	2025-11-24	FLORINA	0	1019.1	2025-11-22	48	1019.43
613	2025-11-25	FLORINA	0	1018	2025-11-23	48	1017.18
613	2025-11-26	FLORINA	0	1010.4	2025-11-24	48	1009.04
613	2025-11-27	FLORINA	0	1010.7	2025-11-25	48	1009.38
613	2025-11-28	FLORINA	0	1015.2	2025-11-26	48	1014.84
613	2025-11-29	FLORINA	0	1014	2025-11-27	48	1013.85
613	2025-11-30	FLORINA	0	1013.7	2025-11-28	48	1013.28
622	2025-11-03	THESSALONIKI (AIRPORT)	0	1019.6	2025-11-01	48	1018.8
622	2025-11-04	THESSALONIKI (AIRPORT)	0	1018.8	2025-11-02	48	1017.94
622	2025-11-05	THESSALONIKI (AIRPORT)	0	1022.9	2025-11-03	48	1022.35
622	2025-11-06	THESSALONIKI (AIRPORT)	0	1020.7	2025-11-04	48	1020.41
622	2025-11-07	THESSALONIKI (AIRPORT)	0	1016.7	2025-11-05	48	1016.6
622	2025-11-08	THESSALONIKI (AIRPORT)	0	1016.5	2025-11-06	48	1016.76
622	2025-11-09	THESSALONIKI (AIRPORT)	0	1017	2025-11-07	48	1016.27
622	2025-11-10	THESSALONIKI (AIRPORT)	0	1016	2025-11-08	48	1015.4
622	2025-11-11	THESSALONIKI (AIRPORT)	0	1012.2	2025-11-09	48	1011.27
622	2025-11-12	THESSALONIKI (AIRPORT)	0	1019.3	2025-11-10	48	1018.73
622	2025-11-13	THESSALONIKI (AIRPORT)	0	1023.3	2025-11-11	48	1022.84
622	2025-11-14	THESSALONIKI (AIRPORT)	0	1022.7	2025-11-12	48	1022.56
622	2025-11-15	THESSALONIKI (AIRPORT)	0	1020.5	2025-11-13	48	1020.58
622	2025-11-16	THESSALONIKI (AIRPORT)	0	1017.7	2025-11-14	48	1017.21
622	2025-11-17	THESSALONIKI (AIRPORT)	0	1019.8	2025-11-15	48	1018.71
622	2025-11-18	THESSALONIKI (AIRPORT)	0	1015.5	2025-11-16	48	1014.68
622	2025-11-19	THESSALONIKI (AIRPORT)	0	1014.2	2025-11-17	48	1013.97
622	2025-11-20	THESSALONIKI (AIRPORT)	0	1015.4	2025-11-18	48	1014.4
622	2025-11-21	THESSALONIKI (AIRPORT)	0	1012.9	2025-11-19	48	1011.6
622	2025-11-22	THESSALONIKI (AIRPORT)	0	1012.4	2025-11-20	48	1010.69
622	2025-11-23	THESSALONIKI (AIRPORT)	0	1012.4	2025-11-21	48	1012.27
622	2025-11-24	THESSALONIKI (AIRPORT)	0	1017.2	2025-11-22	48	1016.86
622	2025-11-25	THESSALONIKI (AIRPORT)	0	1017.9	2025-11-23	48	1017.18
622	2025-11-26	THESSALONIKI (AIRPORT)	0	1011.2	2025-11-24	48	1009.8
622	2025-11-27	THESSALONIKI (AIRPORT)	0	1010	2025-11-25	48	1008.94
622	2025-11-28	THESSALONIKI (AIRPORT)	0	1012.9	2025-11-26	48	1011.87
622	2025-11-29	THESSALONIKI (AIRPORT)	0	1011.6	2025-11-27	48	1011.76
622	2025-11-30	THESSALONIKI (AIRPORT)	0	1011.2	2025-11-28	48	1011.13
627	2025-11-03	ALEXANDROUPOLI (AIRPORT)	0	1018.7	2025-11-01	48	1018.97
627	2025-11-04	ALEXANDROUPOLI (AIRPORT)	0	1018.2	2025-11-02	48	1018.01
627	2025-11-05	ALEXANDROUPOLI (AIRPORT)	0	1021.4	2025-11-03	48	1022.41
627	2025-11-06	ALEXANDROUPOLI (AIRPORT)	0	1020.3	2025-11-04	48	1020.42
627	2025-11-07	ALEXANDROUPOLI (AIRPORT)	0	1016	2025-11-05	48	1016.1
627	2025-11-08	ALEXANDROUPOLI (AIRPORT)	0	1016.7	2025-11-06	48	1017.85
627	2025-11-09	ALEXANDROUPOLI (AIRPORT)	0	1017.3	2025-11-07	48	1017.43
627	2025-11-10	ALEXANDROUPOLI (AIRPORT)	0	1017.9	2025-11-08	48	1017.12
627	2025-11-11	ALEXANDROUPOLI (AIRPORT)	0	1011.5	2025-11-09	48	1011.98
627	2025-11-12	ALEXANDROUPOLI (AIRPORT)	0	1018.2	2025-11-10	48	1018.32
627	2025-11-13	ALEXANDROUPOLI (AIRPORT)	0	1022.5	2025-11-11	48	1023.16
627	2025-11-14	ALEXANDROUPOLI (AIRPORT)	0	1021.9	2025-11-12	48	1022.85
627	2025-11-15	ALEXANDROUPOLI (AIRPORT)	0	1019.8	2025-11-13	48	1021.1
627	2025-11-16	ALEXANDROUPOLI (AIRPORT)	0	1016.3	2025-11-14	48	1017.27
627	2025-11-17	ALEXANDROUPOLI (AIRPORT)	0	1018.7	2025-11-15	48	1019.03
627	2025-11-18	ALEXANDROUPOLI (AIRPORT)	0	1018.7	2025-11-16	48	1017.58
627	2025-11-19	ALEXANDROUPOLI (AIRPORT)	0	1015	2025-11-17	48	1016.2
627	2025-11-20	ALEXANDROUPOLI (AIRPORT)	0	1016	2025-11-18	48	1016.36
627	2025-11-21	ALEXANDROUPOLI (AIRPORT)	0	1015.4	2025-11-19	48	1015.66
627	2025-11-22	ALEXANDROUPOLI (AIRPORT)	0	1015.1	2025-11-20	48	1014.67
627	2025-11-23	ALEXANDROUPOLI (AIRPORT)	0	1014.2	2025-11-21	48	1013.48
627	2025-11-24	ALEXANDROUPOLI (AIRPORT)	0	1015.1	2025-11-22	48	1015.41
627	2025-11-25	ALEXANDROUPOLI (AIRPORT)	0	1018	2025-11-23	48	1017.98
627	2025-11-26	ALEXANDROUPOLI (AIRPORT)	0	1013.3	2025-11-24	48	1012.8
627	2025-11-27	ALEXANDROUPOLI (AIRPORT)	0	1012.9	2025-11-25	48	1012.8
627	2025-11-28	ALEXANDROUPOLI (AIRPORT)	0	1015.6	2025-11-26	48	1014.98
627	2025-11-29	ALEXANDROUPOLI (AIRPORT)	0	1012.5	2025-11-27	48	1013.17
627	2025-11-30	ALEXANDROUPOLI (AIRPORT)	0	1008.6	2025-11-28	48	1009.74
632	2025-11-03	KOZANI (AIRPORT)	0	1021.8	2025-11-01	48	1019.4
632	2025-11-04	KOZANI (AIRPORT)	0	1020.1	2025-11-02	48	1018.47
632	2025-11-05	KOZANI (AIRPORT)	0	1024.8	2025-11-03	48	1023.31
632	2025-11-06	KOZANI (AIRPORT)	0	1022.1	2025-11-04	48	1020.31
632	2025-11-07	KOZANI (AIRPORT)	0	1018	2025-11-05	48	1016.99
632	2025-11-08	KOZANI (AIRPORT)	0	1017.4	2025-11-06	48	1016.63
632	2025-11-09	KOZANI (AIRPORT)	0	1018.8	2025-11-07	48	1017.71
632	2025-11-10	KOZANI (AIRPORT)	0	1017.9	2025-11-08	48	1015.61
632	2025-11-11	KOZANI (AIRPORT)	0	1015.6	2025-11-09	48	1012.47
632	2025-11-12	KOZANI (AIRPORT)	0	1020.6	2025-11-10	48	1019.68
632	2025-11-13	KOZANI (AIRPORT)	0	1026.2	2025-11-11	48	1023.79
632	2025-11-14	KOZANI (AIRPORT)	0	1025	2025-11-12	48	1023.12
632	2025-11-15	KOZANI (AIRPORT)	0	1022.8	2025-11-13	48	1020.84
632	2025-11-16	KOZANI (AIRPORT)	0	1020.2	2025-11-14	48	1017.72
632	2025-11-17	KOZANI (AIRPORT)	0	1022.2	2025-11-15	48	1019.21
632	2025-11-18	KOZANI (AIRPORT)	0	1015.9	2025-11-16	48	1015.83
632	2025-11-19	KOZANI (AIRPORT)	0	1016.1	2025-11-17	48	1015.8
632	2025-11-20	KOZANI (AIRPORT)	0	1017.7	2025-11-18	48	1015.17
632	2025-11-21	KOZANI (AIRPORT)	0	1015.5	2025-11-19	48	1011.66
632	2025-11-22	KOZANI (AIRPORT)	0	1014.3	2025-11-20	48	1011.74
632	2025-11-23	KOZANI (AIRPORT)	0	1015.3	2025-11-21	48	1014.44
632	2025-11-24	KOZANI (AIRPORT)	0	1021	2025-11-22	48	1020.03
632	2025-11-25	KOZANI (AIRPORT)	0	1020	2025-11-23	48	1018.47
632	2025-11-26	KOZANI (AIRPORT)	0	1012.2	2025-11-24	48	1010.6
632	2025-11-27	KOZANI (AIRPORT)	0	1011.2	2025-11-25	48	1009.68
632	2025-11-28	KOZANI (AIRPORT)	0	1014.6	2025-11-26	48	1012.27
632	2025-11-29	KOZANI (AIRPORT)	0	1013.2	2025-11-27	48	1012.64
632	2025-11-30	KOZANI (AIRPORT)	0	1013.6	2025-11-28	48	1012.52
641	2025-11-03	KERKYRA (AIRPORT)	0	1018.3	2025-11-01	48	1018.68
641	2025-11-04	KERKYRA (AIRPORT)	0	1017.4	2025-11-02	48	1018.63
641	2025-11-05	KERKYRA (AIRPORT)	0	1018	2025-11-03	48	1018.76
641	2025-11-06	KERKYRA (AIRPORT)	0	1017.1	2025-11-04	48	1017.2
641	2025-11-07	KERKYRA (AIRPORT)	0	1013.5	2025-11-05	48	1014.38
641	2025-11-08	KERKYRA (AIRPORT)	0	1012.3	2025-11-06	48	1012.88
641	2025-11-09	KERKYRA (AIRPORT)	0	1014.7	2025-11-07	48	1016.13
641	2025-11-10	KERKYRA (AIRPORT)	0	1013.4	2025-11-08	48	1013.72
641	2025-11-11	KERKYRA (AIRPORT)	0	1015.1	2025-11-09	48	1014.55
641	2025-11-12	KERKYRA (AIRPORT)	0	1018	2025-11-10	48	1018.93
641	2025-11-13	KERKYRA (AIRPORT)	0	1022.2	2025-11-11	48	1022.34
641	2025-11-14	KERKYRA (AIRPORT)	0	1022.5	2025-11-12	48	1022.92
641	2025-11-15	KERKYRA (AIRPORT)	0	1020.5	2025-11-13	48	1020.82
641	2025-11-16	KERKYRA (AIRPORT)	0	1018.3	2025-11-14	48	1018.58
641	2025-11-17	KERKYRA (AIRPORT)	0	1018	2025-11-15	48	1018.44
641	2025-11-18	KERKYRA (AIRPORT)	0	1014.9	2025-11-16	48	1014.38
641	2025-11-19	KERKYRA (AIRPORT)	0	1012.7	2025-11-17	48	1014.81
641	2025-11-20	KERKYRA (AIRPORT)	0	1012.6	2025-11-18	48	1013.6
641	2025-11-21	KERKYRA (AIRPORT)	0	1007.5	2025-11-19	48	1009.18
641	2025-11-22	KERKYRA (AIRPORT)	0	1011.3	2025-11-20	48	1011.34
641	2025-11-23	KERKYRA (AIRPORT)	0	1014	2025-11-21	48	1014.95
641	2025-11-24	KERKYRA (AIRPORT)	0	1019.8	2025-11-22	48	1020.52
