obs_codes	obs_dates	obs_station_names	obs_mslp_table_h	obs_mslp_table	icon_dates	icon_mslp_table_h	icon_mslp_table
606	2025-11-02	SERRAI	21	1020.6	2025-11-01	45	1020.39
606	2025-11-04	SERRAI	21	1022.6	2025-11-03	45	1022.83
606	2025-11-05	SERRAI	21	1021.8	2025-11-04	45	1021.47
606	2025-11-06	SERRAI	21	1017.1	2025-11-05	45	1017.14
606	2025-11-07	SERRAI	21	1017.9	2025-11-06	45	1017.58
606	2025-11-08	SERRAI	21	1017.6	2025-11-07	45	1017.45
606	2025-11-09	SERRAI	21	1018	2025-11-08	45	1018.01
606	2025-11-10	SERRAI	21	1012.4	2025-11-09	45	1011.92
606	2025-11-11	SERRAI	21	1018	2025-11-10	45	1016.98
606	2025-11-12	SERRAI	21	1023.6	2025-11-11	45	1023.3
606	2025-11-13	SERRAI	21	1023.4	2025-11-12	45	1023.34
606	2025-11-14	SERRAI	21	1021.2	2025-11-13	45	1021.6
606	2025-11-15	SERRAI	21	1018	2025-11-14	45	1018.45
606	2025-11-16	SERRAI	21	1020.4	2025-11-15	45	1020.33
606	2025-11-17	SERRAI	21	1017.5	2025-11-16	45	1017.23
606	2025-11-18	SERRAI	21	1016.6	2025-11-17	45	1016.49
606	2025-11-19	SERRAI	21	1017	2025-11-18	45	1015.83
606	2025-11-20	SERRAI	21	1014.9	2025-11-19	45	1014.56
613	2025-11-02	FLORINA	21	1021.4	2025-11-01	45	1020.07
613	2025-11-03	FLORINA	21	1020.1	2025-11-02	45	1018.47
613	2025-11-04	FLORINA	21	1026.5	2025-11-03	45	1025.28
613	2025-11-05	FLORINA	21	1023.6	2025-11-04	45	1022.5
613	2025-11-06	FLORINA	21	1018	2025-11-05	45	1016.9
613	2025-11-07	FLORINA	21	1016.7	2025-11-06	45	1016.28
613	2025-11-08	FLORINA	21	1019	2025-11-07	45	1017.54
613	2025-11-09	FLORINA	21	1018.3	2025-11-08	45	1016.45
613	2025-11-10	FLORINA	21	1014.8	2025-11-09	45	1012.4
613	2025-11-11	FLORINA	21	1021.4	2025-11-10	45	1020.02
613	2025-11-12	FLORINA	21	1027.5	2025-11-11	45	1025.01
613	2025-11-13	FLORINA	21	1027.7	2025-11-12	45	1024.99
613	2025-11-14	FLORINA	21	1024.7	2025-11-13	45	1022.37
613	2025-11-15	FLORINA	21	1021.6	2025-11-14	45	1019.22
613	2025-11-16	FLORINA	21	1022.2	2025-11-15	45	1019.94
613	2025-11-17	FLORINA	21	1014.1	2025-11-16	45	1015.09
613	2025-11-18	FLORINA	21	1015.6	2025-11-17	45	1015.03
613	2025-11-19	FLORINA	21	1015.7	2025-11-18	45	1014.54
613	2025-11-20	FLORINA	21	1015.2	2025-11-19	45	1013.12
613	2025-11-21	FLORINA	21	1012.4	2025-11-20	45	1011.2
