obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
622	2025-10-01	THESSALONIKI (AIRPORT)	18	50	2025-10-01	18	99.5117
622	2025-10-02	THESSALONIKI (AIRPORT)	18	100	2025-10-02	18	100
622	2025-10-03	THESSALONIKI (AIRPORT)	18	75	2025-10-03	18	32.373
622	2025-10-04	THESSALONIKI (AIRPORT)	18	13	2025-10-04	18	0.199219
622	2025-10-05	THESSALONIKI (AIRPORT)	18	38	2025-10-05	18	22.1836
622	2025-10-06	THESSALONIKI (AIRPORT)	18	88	2025-10-06	18	93.7598
622	2025-10-07	THESSALONIKI (AIRPORT)	18	100	2025-10-07	18	99.8965
622	2025-10-08	THESSALONIKI (AIRPORT)	18	63	2025-10-08	18	31.3262
622	2025-10-09	THESSALONIKI (AIRPORT)	18	0	2025-10-09	18	0.015625
622	2025-10-10	THESSALONIKI (AIRPORT)	18	63	2025-10-10	18	7.41211
622	2025-10-11	THESSALONIKI (AIRPORT)	18	38	2025-10-11	18	6.22656
622	2025-10-12	THESSALONIKI (AIRPORT)	18	25	2025-10-12	18	0.589844
622	2025-10-13	THESSALONIKI (AIRPORT)	18	50	2025-10-13	18	99.9414
622	2025-10-14	THESSALONIKI (AIRPORT)	18	0	2025-10-14	18	0.283203
622	2025-10-15	THESSALONIKI (AIRPORT)	18	75	2025-10-15	18	19.4121
622	2025-10-16	THESSALONIKI (AIRPORT)	18	88	2025-10-16	18	100
622	2025-10-17	THESSALONIKI (AIRPORT)	18	100	2025-10-17	18	100
622	2025-10-18	THESSALONIKI (AIRPORT)	18	75	2025-10-18	18	26.4961
622	2025-10-19	THESSALONIKI (AIRPORT)	18	38	2025-10-19	18	2.05078
622	2025-10-20	THESSALONIKI (AIRPORT)	18	75	2025-10-20	18	98.4629
622	2025-10-21	THESSALONIKI (AIRPORT)	18	75	2025-10-21	18	19.3301
622	2025-10-22	THESSALONIKI (AIRPORT)	18	75	2025-10-22	18	99.6484
622	2025-10-23	THESSALONIKI (AIRPORT)	18	75	2025-10-23	18	98.7695
622	2025-10-24	THESSALONIKI (AIRPORT)	18	13	2025-10-24	18	5.62109
622	2025-10-25	THESSALONIKI (AIRPORT)	18	25	2025-10-25	18	2.06641
622	2025-10-26	THESSALONIKI (AIRPORT)	18	50	2025-10-26	18	38.7969
622	2025-10-27	THESSALONIKI (AIRPORT)	18	13	2025-10-27	18	0
622	2025-10-28	THESSALONIKI (AIRPORT)	18	13	2025-10-28	18	0
622	2025-10-29	THESSALONIKI (AIRPORT)	18	0	2025-10-29	18	0
622	2025-10-30	THESSALONIKI (AIRPORT)	18	38	2025-10-30	18	0.255859
622	2025-10-31	THESSALONIKI (AIRPORT)	18	75	2025-10-31	18	99.9082
624	2025-10-01	CHRYSOPOULI (AIRPORT)	18	88	2025-10-01	18	100
624	2025-10-02	CHRYSOPOULI (AIRPORT)	18	100	2025-10-02	18	100
624	2025-10-03	CHRYSOPOULI (AIRPORT)	18	88	2025-10-03	18	89.5547
624	2025-10-04	CHRYSOPOULI (AIRPORT)	18	13	2025-10-04	18	0
624	2025-10-05	CHRYSOPOULI (AIRPORT)	18	50	2025-10-05	18	2.14258
624	2025-10-06	CHRYSOPOULI (AIRPORT)	18	100	2025-10-06	18	100
624	2025-10-07	CHRYSOPOULI (AIRPORT)	18	100	2025-10-07	18	100
624	2025-10-08	CHRYSOPOULI (AIRPORT)	18	63	2025-10-08	18	100
624	2025-10-09	CHRYSOPOULI (AIRPORT)	18	25	2025-10-09	18	37.4121
624	2025-10-10	CHRYSOPOULI (AIRPORT)	18	38	2025-10-10	18	0.0703125
624	2025-10-11	CHRYSOPOULI (AIRPORT)	18	38	2025-10-11	18	1.69727
624	2025-10-12	CHRYSOPOULI (AIRPORT)	18	38	2025-10-12	18	0.00390625
624	2025-10-13	CHRYSOPOULI (AIRPORT)	18	88	2025-10-13	18	99.9961
624	2025-10-14	CHRYSOPOULI (AIRPORT)	18	63	2025-10-14	18	5.94141
624	2025-10-15	CHRYSOPOULI (AIRPORT)	18	75	2025-10-15	18	32.6172
624	2025-10-16	CHRYSOPOULI (AIRPORT)	18	50	2025-10-16	18	99.9766
624	2025-10-17	CHRYSOPOULI (AIRPORT)	18	100	2025-10-17	18	99.9961
624	2025-10-18	CHRYSOPOULI (AIRPORT)	18	88	2025-10-18	18	22.0176
624	2025-10-19	CHRYSOPOULI (AIRPORT)	18	63	2025-10-19	18	25.4336
624	2025-10-20	CHRYSOPOULI (AIRPORT)	18	38	2025-10-20	18	2.16016
624	2025-10-21	CHRYSOPOULI (AIRPORT)	18	63	2025-10-21	18	99.9121
624	2025-10-22	CHRYSOPOULI (AIRPORT)	18	50	2025-10-22	18	40.3477
624	2025-10-23	CHRYSOPOULI (AIRPORT)	18	13	2025-10-23	18	19.373
624	2025-10-24	CHRYSOPOULI (AIRPORT)	18	38	2025-10-24	18	0.591797
624	2025-10-25	CHRYSOPOULI (AIRPORT)	18	13	2025-10-25	18	2.22852
624	2025-10-26	CHRYSOPOULI (AIRPORT)	18	75	2025-10-26	18	27.7383
624	2025-10-27	CHRYSOPOULI (AIRPORT)	18	25	2025-10-27	18	15.1484
