obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	icon_dates	icon_tcc_table_h	icon_tcc_table
622	2025-11-01	THESSALONIKI (AIRPORT)	18	25	2025-11-01	18	11.0781
622	2025-11-02	THESSALONIKI (AIRPORT)	18	25	2025-11-02	18	30.0703
622	2025-11-03	THESSALONIKI (AIRPORT)	18	88	2025-11-03	18	91.9434
622	2025-11-04	THESSALONIKI (AIRPORT)	18	88	2025-11-04	18	100
622	2025-11-05	THESSALONIKI (AIRPORT)	18	88	2025-11-05	18	80.6211
622	2025-11-06	THESSALONIKI (AIRPORT)	18	100	2025-11-06	18	91.3477
622	2025-11-07	THESSALONIKI (AIRPORT)	18	63	2025-11-07	18	97.5918
622	2025-11-08	THESSALONIKI (AIRPORT)	18	75	2025-11-08	18	100
622	2025-11-09	THESSALONIKI (AIRPORT)	18	50	2025-11-09	18	100
622	2025-11-10	THESSALONIKI (AIRPORT)	18	75	2025-11-10	18	100
622	2025-11-11	THESSALONIKI (AIRPORT)	18	13	2025-11-11	18	0
622	2025-11-12	THESSALONIKI (AIRPORT)	18	13	2025-11-12	18	0
622	2025-11-13	THESSALONIKI (AIRPORT)	18	25	2025-11-13	18	0
622	2025-11-14	THESSALONIKI (AIRPORT)	18	13	2025-11-14	18	0
622	2025-11-15	THESSALONIKI (AIRPORT)	18	25	2025-11-15	18	99.7676
622	2025-11-16	THESSALONIKI (AIRPORT)	18	13	2025-11-16	18	14.7617
622	2025-11-17	THESSALONIKI (AIRPORT)	18	75	2025-11-17	18	100
622	2025-11-18	THESSALONIKI (AIRPORT)	18	75	2025-11-18	18	100
622	2025-11-19	THESSALONIKI (AIRPORT)	18	100	2025-11-19	18	100
622	2025-11-20	THESSALONIKI (AIRPORT)	18	75	2025-11-20	18	100
622	2025-11-21	THESSALONIKI (AIRPORT)	18	88	2025-11-21	18	100
622	2025-11-22	THESSALONIKI (AIRPORT)	18	63	2025-11-22	18	72.709
622	2025-11-23	THESSALONIKI (AIRPORT)	18	13	2025-11-23	18	0
622	2025-11-24	THESSALONIKI (AIRPORT)	18	0	2025-11-24	18	0
622	2025-11-25	THESSALONIKI (AIRPORT)	18	63	2025-11-25	18	76.3223
622	2025-11-26	THESSALONIKI (AIRPORT)	18	88	2025-11-26	18	100
622	2025-11-27	THESSALONIKI (AIRPORT)	18	88	2025-11-27	18	100
622	2025-11-28	THESSALONIKI (AIRPORT)	18	63	2025-11-28	18	100
622	2025-11-29	THESSALONIKI (AIRPORT)	18	13	2025-11-29	18	6.63672
622	2025-11-30	THESSALONIKI (AIRPORT)	18	38	2025-11-30	18	19.6816
624	2025-11-01	CHRYSOPOULI (AIRPORT)	18	38	2025-11-01	18	76.0273
624	2025-11-02	CHRYSOPOULI (AIRPORT)	18	63	2025-11-02	18	99.5879
624	2025-11-03	CHRYSOPOULI (AIRPORT)	18	50	2025-11-03	18	100
624	2025-11-04	CHRYSOPOULI (AIRPORT)	18	88	2025-11-04	18	100
624	2025-11-05	CHRYSOPOULI (AIRPORT)	18	88	2025-11-05	18	100
624	2025-11-06	CHRYSOPOULI (AIRPORT)	18	100	2025-11-06	18	91.4766
624	2025-11-07	CHRYSOPOULI (AIRPORT)	18	50	2025-11-07	18	100
624	2025-11-08	CHRYSOPOULI (AIRPORT)	18	88	2025-11-08	18	100
