obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	ecmwf_dates	ecmwf_td_table_h	ecmwf_td_table
606	2025-10-01	SERRAI	6	11.15	2025-10-01	6	13.4118
606	2025-10-02	SERRAI	6	12.45	2025-10-02	6	12.0787
606	2025-10-03	SERRAI	6	9.45	2025-10-03	6	7.6248
606	2025-10-04	SERRAI	6	6.15	2025-10-04	6	4.64542
606	2025-10-05	SERRAI	6	7.25	2025-10-05	6	5.05899
606	2025-10-06	SERRAI	6	12.95	2025-10-06	6	11.7635
606	2025-10-07	SERRAI	6	7.25	2025-10-07	6	9.68106
606	2025-10-08	SERRAI	6	6.75	2025-10-08	6	7.42252
606	2025-10-09	SERRAI	6	7.95	2025-10-09	6	7.74185
606	2025-10-10	SERRAI	6	7.95	2025-10-10	6	6.92618
606	2025-10-11	SERRAI	6	8.45	2025-10-11	6	8.73111
606	2025-10-12	SERRAI	6	7.45	2025-10-12	6	6.70499
606	2025-10-13	SERRAI	6	7.95	2025-10-13	6	8.13371
606	2025-10-14	SERRAI	6	7.95	2025-10-14	6	7.0441
606	2025-10-15	SERRAI	6	8.95	2025-10-15	6	7.36707
606	2025-10-16	SERRAI	6	9.95	2025-10-16	6	9.5275
606	2025-10-17	SERRAI	6	9.75	2025-10-17	6	9.173
606	2025-10-18	SERRAI	6	13.75	2025-10-18	6	11.867
606	2025-10-19	SERRAI	6	11.95	2025-10-19	6	10.9139
606	2025-10-20	SERRAI	6	8.45	2025-10-20	6	10.8893
606	2025-10-21	SERRAI	6	11.95	2025-10-21	6	10.0778
606	2025-10-22	SERRAI	6	11.45	2025-10-22	6	10.436
606	2025-10-23	SERRAI	6	13.15	2025-10-23	6	12.099
606	2025-10-24	SERRAI	6	14.75	2025-10-24	6	14.5959
606	2025-10-27	SERRAI	6	11.95	2025-10-27	6	12.6254
606	2025-10-28	SERRAI	6	7.75	2025-10-28	6	7.02164
606	2025-10-29	SERRAI	6	4.75	2025-10-29	6	3.75562
606	2025-10-30	SERRAI	6	4.75	2025-10-30	6	3.67278
606	2025-10-31	SERRAI	6	7.15	2025-10-31	6	5.95947
613	2025-10-01	FLORINA	6	7.75	2025-10-01	6	4.66178
613	2025-10-03	FLORINA	6	3.45	2025-10-03	6	0.76152
613	2025-10-04	FLORINA	6	1.45	2025-10-04	6	-0.14755
613	2025-10-05	FLORINA	6	6.25	2025-10-05	6	3.54727
613	2025-10-06	FLORINA	6	12.25	2025-10-06	6	10.5037
613	2025-10-07	FLORINA	6	5.75	2025-10-07	6	2.73673
613	2025-10-08	FLORINA	6	7.45	2025-10-08	6	5.71549
613	2025-10-09	FLORINA	6	6.65	2025-10-09	6	4.75064
613	2025-10-11	FLORINA	6	9.65	2025-10-11	6	7.92447
613	2025-10-12	FLORINA	6	8.45	2025-10-12	6	5.93448
613	2025-10-14	FLORINA	6	7.65	2025-10-14	6	4.7316
613	2025-10-16	FLORINA	6	10.45	2025-10-16	6	8.37711
613	2025-10-18	FLORINA	6	11.65	2025-10-18	6	9.57111
613	2025-10-19	FLORINA	6	7.15	2025-10-19	6	7.48621
613	2025-10-22	FLORINA	6	12.45	2025-10-22	6	9.06877
613	2025-10-24	FLORINA	6	12.75	2025-10-24	6	11.9972
613	2025-10-25	FLORINA	6	7.45	2025-10-25	6	5.48233
613	2025-10-26	FLORINA	6	8.75	2025-10-26	6	6.91422
613	2025-10-27	FLORINA	6	13.95	2025-10-27	6	12.3988
613	2025-10-28	FLORINA	6	6.25	2025-10-28	6	4.84195
622	2025-10-01	THESSALONIKI (AIRPORT)	6	15.95	2025-10-01	6	14.2301
622	2025-10-02	THESSALONIKI (AIRPORT)	6	12.95	2025-10-02	6	13.3678
622	2025-10-03	THESSALONIKI (AIRPORT)	6	4.65	2025-10-03	6	3.97734
622	2025-10-04	THESSALONIKI (AIRPORT)	6	3.65	2025-10-04	6	3.01554
622	2025-10-05	THESSALONIKI (AIRPORT)	6	7.45	2025-10-05	6	8.01602
622	2025-10-06	THESSALONIKI (AIRPORT)	6	14.45	2025-10-06	6	15.0711
622	2025-10-07	THESSALONIKI (AIRPORT)	6	7.25	2025-10-07	6	5.59317
622	2025-10-08	THESSALONIKI (AIRPORT)	6	8.25	2025-10-08	6	7.611
622	2025-10-09	THESSALONIKI (AIRPORT)	6	7.75	2025-10-09	6	7.34146
622	2025-10-10	THESSALONIKI (AIRPORT)	6	8.45	2025-10-10	6	8.61661
622	2025-10-11	THESSALONIKI (AIRPORT)	6	9.45	2025-10-11	6	9.38639
622	2025-10-12	THESSALONIKI (AIRPORT)	6	6.45	2025-10-12	6	8.82999
622	2025-10-13	THESSALONIKI (AIRPORT)	6	9.25	2025-10-13	6	8.65813
622	2025-10-14	THESSALONIKI (AIRPORT)	6	6.25	2025-10-14	6	7.81851
622	2025-10-15	THESSALONIKI (AIRPORT)	6	8.95	2025-10-15	6	8.56824
622	2025-10-16	THESSALONIKI (AIRPORT)	6	13.75	2025-10-16	6	12.1095
622	2025-10-17	THESSALONIKI (AIRPORT)	6	14.75	2025-10-17	6	13.6711
622	2025-10-18	THESSALONIKI (AIRPORT)	6	14.75	2025-10-18	6	14.1668
622	2025-10-19	THESSALONIKI (AIRPORT)	6	11.25	2025-10-19	6	9.43738
622	2025-10-20	THESSALONIKI (AIRPORT)	6	11.45	2025-10-20	6	12.359
622	2025-10-21	THESSALONIKI (AIRPORT)	6	11.25	2025-10-21	6	12.11
622	2025-10-22	THESSALONIKI (AIRPORT)	6	14.45	2025-10-22	6	13.144
622	2025-10-23	THESSALONIKI (AIRPORT)	6	14.75	2025-10-23	6	13.9867
622	2025-10-24	THESSALONIKI (AIRPORT)	6	14.25	2025-10-24	6	15.5851
622	2025-10-25	THESSALONIKI (AIRPORT)	6	6.45	2025-10-25	6	7.51651
622	2025-10-26	THESSALONIKI (AIRPORT)	6	10.25	2025-10-26	6	10.4894
622	2025-10-27	THESSALONIKI (AIRPORT)	6	13.15	2025-10-27	6	14.5561
622	2025-10-28	THESSALONIKI (AIRPORT)	6	10.75	2025-10-28	6	9.26285
622	2025-10-29	THESSALONIKI (AIRPORT)	6	6.25	2025-10-29	6	6.71069
622	2025-10-30	THESSALONIKI (AIRPORT)	6	10.25	2025-10-30	6	9.85246
622	2025-10-31	THESSALONIKI (AIRPORT)	6	11.95	2025-10-31	6	12.1011
624	2025-10-01	CHRYSOPOULI (AIRPORT)	6	12.15	2025-10-01	6	3.47916
624	2025-10-02	CHRYSOPOULI (AIRPORT)	6	10.95	2025-10-02	6	8.6031
624	2025-10-03	CHRYSOPOULI (AIRPORT)	6	16.15	2025-10-03	6	14.6717
624	2025-10-04	CHRYSOPOULI (AIRPORT)	6	12.25	2025-10-04	6	10.1171
624	2025-10-05	CHRYSOPOULI (AIRPORT)	6	9.95	2025-10-05	6	7.41349
624	2025-10-06	CHRYSOPOULI (AIRPORT)	6	13.45	2025-10-06	6	10.5594
624	2025-10-07	CHRYSOPOULI (AIRPORT)	6	12.75	2025-10-07	6	11.6566
624	2025-10-08	CHRYSOPOULI (AIRPORT)	6	11.25	2025-10-08	6	7.46842
624	2025-10-09	CHRYSOPOULI (AIRPORT)	6	11.25	2025-10-09	6	11.1159
624	2025-10-10	CHRYSOPOULI (AIRPORT)	6	13.65	2025-10-10	6	10.5981
624	2025-10-11	CHRYSOPOULI (AIRPORT)	6	12.95	2025-10-11	6	11.7419
624	2025-10-12	CHRYSOPOULI (AIRPORT)	6	8.45	2025-10-12	6	9.04092
624	2025-10-13	CHRYSOPOULI (AIRPORT)	6	11.95	2025-10-13	6	9.04387
624	2025-10-14	CHRYSOPOULI (AIRPORT)	6	10.95	2025-10-14	6	9.2648
624	2025-10-15	CHRYSOPOULI (AIRPORT)	6	11.75	2025-10-15	6	9.64734
624	2025-10-16	CHRYSOPOULI (AIRPORT)	6	10.25	2025-10-16	6	8.19059
624	2025-10-17	CHRYSOPOULI (AIRPORT)	6	10.65	2025-10-17	6	7.92105
624	2025-10-18	CHRYSOPOULI (AIRPORT)	6	14.65	2025-10-18	6	12.2108
624	2025-10-19	CHRYSOPOULI (AIRPORT)	6	14.95	2025-10-19	6	13.6073
624	2025-10-20	CHRYSOPOULI (AIRPORT)	6	11.95	2025-10-20	6	4.87955
624	2025-10-21	CHRYSOPOULI (AIRPORT)	6	11.75	2025-10-21	6	8.97623
624	2025-10-22	CHRYSOPOULI (AIRPORT)	6	10.75	2025-10-22	6	8.94279
624	2025-10-23	CHRYSOPOULI (AIRPORT)	6	12.45	2025-10-23	6	11.3002
624	2025-10-24	CHRYSOPOULI (AIRPORT)	6	14.25	2025-10-24	6	14.63
624	2025-10-25	CHRYSOPOULI (AIRPORT)	6	11.75	2025-10-25	6	12.8925
624	2025-10-26	CHRYSOPOULI (AIRPORT)	6	11.45	2025-10-26	6	9.80094
624	2025-10-27	CHRYSOPOULI (AIRPORT)	6	14.25	2025-10-27	6	14.1322
624	2025-10-28	CHRYSOPOULI (AIRPORT)	6	13.25	2025-10-28	6	11.2502
624	2025-10-29	CHRYSOPOULI (AIRPORT)	6	6.95	2025-10-29	6	7.0603
624	2025-10-30	CHRYSOPOULI (AIRPORT)	6	6.75	2025-10-30	6	4.56535
624	2025-10-31	CHRYSOPOULI (AIRPORT)	6	8.25	2025-10-31	6	7.05713
627	2025-10-01	ALEXANDROUPOLI (AIRPORT)	6	9.75	2025-10-01	6	9.48697
627	2025-10-02	ALEXANDROUPOLI (AIRPORT)	6	10.25	2025-10-02	6	9.25056
627	2025-10-03	ALEXANDROUPOLI (AIRPORT)	6	16.15	2025-10-03	6	15.3162
627	2025-10-04	ALEXANDROUPOLI (AIRPORT)	6	11.25	2025-10-04	6	10.1933
627	2025-10-05	ALEXANDROUPOLI (AIRPORT)	6	10.15	2025-10-05	6	10.7338
627	2025-10-06	ALEXANDROUPOLI (AIRPORT)	6	15.45	2025-10-06	6	14.6932
627	2025-10-07	ALEXANDROUPOLI (AIRPORT)	6	10.95	2025-10-07	6	8.98282
627	2025-10-08	ALEXANDROUPOLI (AIRPORT)	6	10.25	2025-10-08	6	8.48209
627	2025-10-10	ALEXANDROUPOLI (AIRPORT)	6	9.95	2025-10-10	6	10.5502
627	2025-10-11	ALEXANDROUPOLI (AIRPORT)	6	13.45	2025-10-11	6	12.1481
627	2025-10-12	ALEXANDROUPOLI (AIRPORT)	6	8.25	2025-10-12	6	8.10733
627	2025-10-13	ALEXANDROUPOLI (AIRPORT)	6	11.25	2025-10-13	6	10.2626
627	2025-10-14	ALEXANDROUPOLI (AIRPORT)	6	10.75	2025-10-14	6	9.57633
627	2025-10-15	ALEXANDROUPOLI (AIRPORT)	6	11.75	2025-10-15	6	11.7665
627	2025-10-16	ALEXANDROUPOLI (AIRPORT)	6	9.75	2025-10-16	6	9.72867
627	2025-10-17	ALEXANDROUPOLI (AIRPORT)	6	10.15	2025-10-17	6	9.00894
627	2025-10-18	ALEXANDROUPOLI (AIRPORT)	6	13.25	2025-10-18	6	13.3426
627	2025-10-19	ALEXANDROUPOLI (AIRPORT)	6	12.75	2025-10-19	6	9.32312
627	2025-10-20	ALEXANDROUPOLI (AIRPORT)	6	8.25	2025-10-20	6	6.36392
627	2025-10-21	ALEXANDROUPOLI (AIRPORT)	6	7.95	2025-10-21	6	8.09732
627	2025-10-22	ALEXANDROUPOLI (AIRPORT)	6	9.95	2025-10-22	6	10.2924
627	2025-10-23	ALEXANDROUPOLI (AIRPORT)	6	14.25	2025-10-23	6	16.4525
627	2025-10-24	ALEXANDROUPOLI (AIRPORT)	6	18.25	2025-10-24	6	17.8263
627	2025-10-25	ALEXANDROUPOLI (AIRPORT)	6	14.15	2025-10-25	6	12.537
627	2025-10-26	ALEXANDROUPOLI (AIRPORT)	6	14.25	2025-10-26	6	14.2834
627	2025-10-27	ALEXANDROUPOLI (AIRPORT)	6	18.75	2025-10-27	6	17.2904
627	2025-10-28	ALEXANDROUPOLI (AIRPORT)	6	9.25	2025-10-28	6	9.67398
627	2025-10-29	ALEXANDROUPOLI (AIRPORT)	6	6.45	2025-10-29	6	5.84839
627	2025-10-30	ALEXANDROUPOLI (AIRPORT)	6	5.75	2025-10-30	6	7.45403
