obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	icon_dates	icon_td_table_h	icon_td_table
606	2025-11-01	SERRAI	15	11.45	2025-11-01	15	12.1567
606	2025-11-02	SERRAI	15	10.75	2025-11-02	15	11.4728
606	2025-11-03	SERRAI	15	12.15	2025-11-03	15	10.9412
606	2025-11-04	SERRAI	15	13.25	2025-11-04	15	11.9409
606	2025-11-05	SERRAI	15	12.45	2025-11-05	15	11.9584
606	2025-11-06	SERRAI	15	11.75	2025-11-06	15	12.0986
606	2025-11-07	SERRAI	15	12.75	2025-11-07	15	12.7605
606	2025-11-08	SERRAI	15	15.25	2025-11-08	15	14.2859
606	2025-11-09	SERRAI	15	15.95	2025-11-09	15	14.6483
606	2025-11-10	SERRAI	15	15.45	2025-11-10	15	15.749
606	2025-11-11	SERRAI	15	7.75	2025-11-11	15	7.45671
606	2025-11-12	SERRAI	15	5.65	2025-11-12	15	8.2251
606	2025-11-13	SERRAI	15	8.75	2025-11-13	15	8.69992
606	2025-11-14	SERRAI	15	9.25	2025-11-14	15	9.42363
606	2025-11-15	SERRAI	15	8.95	2025-11-15	15	8.94446
606	2025-11-16	SERRAI	15	8.95	2025-11-16	15	10.1132
606	2025-11-17	SERRAI	15	11.45	2025-11-17	15	12.1136
606	2025-11-18	SERRAI	15	13.45	2025-11-18	15	13.7283
606	2025-11-19	SERRAI	15	14.15	2025-11-19	15	14.6182
606	2025-11-20	SERRAI	15	15.65	2025-11-20	15	14.1133
613	2025-11-01	FLORINA	15	8.65	2025-11-01	15	10.4077
613	2025-11-02	FLORINA	15	9.25	2025-11-02	15	11.2394
613	2025-11-03	FLORINA	15	10.75	2025-11-03	15	13.6844
613	2025-11-04	FLORINA	15	8.15	2025-11-04	15	6.21536
613	2025-11-05	FLORINA	15	7.45	2025-11-05	15	5.70059
613	2025-11-06	FLORINA	15	8.95	2025-11-06	15	8.43947
613	2025-11-07	FLORINA	15	9.45	2025-11-07	15	8.53586
613	2025-11-08	FLORINA	15	11.95	2025-11-08	15	8.04082
613	2025-11-09	FLORINA	15	13.65	2025-11-09	15	10.5262
613	2025-11-11	FLORINA	15	10.25	2025-11-11	15	8.52019
613	2025-11-12	FLORINA	15	2.95	2025-11-12	15	2.90576
613	2025-11-13	FLORINA	15	6.15	2025-11-13	15	6.01535
613	2025-11-14	FLORINA	15	6.15	2025-11-14	15	7.15898
613	2025-11-15	FLORINA	15	5.75	2025-11-15	15	7.91223
613	2025-11-16	FLORINA	15	6.25	2025-11-16	15	6.88272
613	2025-11-17	FLORINA	15	5.25	2025-11-17	15	6.91046
613	2025-11-18	FLORINA	15	13.65	2025-11-18	15	12.0017
613	2025-11-19	FLORINA	15	10.65	2025-11-19	15	10.1534
613	2025-11-20	FLORINA	15	10.25	2025-11-20	15	8.08006
613	2025-11-22	FLORINA	15	8.25	2025-11-22	15	8.30627
