obs_codes	obs_dates	obs_temp_table_h	obs_temp_table	obs_station_names	icon_dates	icon_temp_table_h	icon_temp_table	icon_station_names
606	2025-09-03	0	19.74	SERRAI	2025-09-01	48	19.8827	SERRAI
606	2025-09-04	0	22.94	SERRAI	2025-09-02	48	21.9931	SERRAI
606	2025-09-05	0	21.14	SERRAI	2025-09-03	48	19.8583	SERRAI
606	2025-09-06	0	19.44	SERRAI	2025-09-04	48	17.0092	SERRAI
606	2025-09-07	0	19.24	SERRAI	2025-09-05	48	18.9423	SERRAI
606	2025-09-08	0	17.94	SERRAI	2025-09-06	48	17.7743	SERRAI
606	2025-09-09	0	17.94	SERRAI	2025-09-07	48	18.2055	SERRAI
606	2025-09-10	0	18.74	SERRAI	2025-09-08	48	19.3725	SERRAI
606	2025-09-11	0	19.94	SERRAI	2025-09-09	48	21.1154	SERRAI
606	2025-09-12	0	19.94	SERRAI	2025-09-10	48	20.4462	SERRAI
606	2025-09-13	0	19.64	SERRAI	2025-09-11	48	21.3908	SERRAI
606	2025-09-14	0	22.64	SERRAI	2025-09-12	48	21.7502	SERRAI
606	2025-09-15	0	19.24	SERRAI	2025-09-13	48	20.9538	SERRAI
606	2025-09-16	0	18.74	SERRAI	2025-09-14	48	17.5934	SERRAI
606	2025-09-17	0	17.74	SERRAI	2025-09-15	48	17.6303	SERRAI
606	2025-09-18	0	19.94	SERRAI	2025-09-16	48	19.4057	SERRAI
606	2025-09-19	0	12.94	SERRAI	2025-09-17	48	14.2409	SERRAI
606	2025-09-20	0	13.74	SERRAI	2025-09-18	48	15.1891	SERRAI
606	2025-09-21	0	15.14	SERRAI	2025-09-19	48	16.5075	SERRAI
606	2025-09-22	0	16.64	SERRAI	2025-09-20	48	19.121	SERRAI
606	2025-09-23	0	13.94	SERRAI	2025-09-21	48	15.7394	SERRAI
606	2025-09-24	0	16.24	SERRAI	2025-09-22	48	17.0295	SERRAI
606	2025-09-26	0	20.24	SERRAI	2025-09-24	48	19.4521	SERRAI
606	2025-09-27	0	19.24	SERRAI	2025-09-25	48	17.9643	SERRAI
606	2025-09-28	0	14.44	SERRAI	2025-09-26	48	13.987	SERRAI
606	2025-09-29	0	13.64	SERRAI	2025-09-27	48	15.9381	SERRAI
606	2025-09-30	0	15.94	SERRAI	2025-09-28	48	14.9716	SERRAI
613	2025-09-03	0	15.24	FLORINA	2025-09-01	48	18.8388	FLORINA
613	2025-09-04	0	14.74	FLORINA	2025-09-02	48	17.8085	FLORINA
613	2025-09-05	0	14.94	FLORINA	2025-09-03	48	17.3271	FLORINA
613	2025-09-06	0	12.24	FLORINA	2025-09-04	48	16.9359	FLORINA
613	2025-09-07	0	11.74	FLORINA	2025-09-05	48	15.8808	FLORINA
613	2025-09-08	0	11.24	FLORINA	2025-09-06	48	15.4941	FLORINA
613	2025-09-09	0	14.24	FLORINA	2025-09-07	48	17.4672	FLORINA
613	2025-09-10	0	11.74	FLORINA	2025-09-08	48	15.0238	FLORINA
613	2025-09-11	0	17.94	FLORINA	2025-09-09	48	18.2463	FLORINA
613	2025-09-12	0	14.44	FLORINA	2025-09-10	48	17.6542	FLORINA
613	2025-09-13	0	11.74	FLORINA	2025-09-11	48	17.0675	FLORINA
613	2025-09-14	0	18.64	FLORINA	2025-09-12	48	17.2443	FLORINA
613	2025-09-15	0	14.44	FLORINA	2025-09-13	48	16.527	FLORINA
613	2025-09-16	0	11.44	FLORINA	2025-09-14	48	14.7985	FLORINA
613	2025-09-17	0	13.74	FLORINA	2025-09-15	48	17.3168	FLORINA
613	2025-09-18	0	11.74	FLORINA	2025-09-16	48	13.2504	FLORINA
613	2025-09-19	0	12.64	FLORINA	2025-09-17	48	10.653	FLORINA
613	2025-09-20	0	10.94	FLORINA	2025-09-18	48	13.693	FLORINA
613	2025-09-21	0	13.74	FLORINA	2025-09-19	48	14.6344	FLORINA
613	2025-09-22	0	11.44	FLORINA	2025-09-20	48	14.371	FLORINA
613	2025-09-23	0	13.24	FLORINA	2025-09-21	48	14.6271	FLORINA
613	2025-09-24	0	9.24	FLORINA	2025-09-22	48	15.3586	FLORINA
613	2025-09-26	0	17.64	FLORINA	2025-09-24	48	17.3368	FLORINA
613	2025-09-27	0	15.94	FLORINA	2025-09-25	48	15.2836	FLORINA
613	2025-09-28	0	12.74	FLORINA	2025-09-26	48	13.5065	FLORINA
613	2025-09-29	0	11.94	FLORINA	2025-09-27	48	12.4001	FLORINA
613	2025-09-30	0	11.94	FLORINA	2025-09-28	48	12.6923	FLORINA
622	2025-09-03	0	22.24	THESSALONIKI (AIRPORT)	2025-09-01	48	22.0995	THESSALONIKI (AIRPORT)
622	2025-09-04	0	26.94	THESSALONIKI (AIRPORT)	2025-09-02	48	23.455	THESSALONIKI (AIRPORT)
622	2025-09-05	0	25.44	THESSALONIKI (AIRPORT)	2025-09-03	48	21.9608	THESSALONIKI (AIRPORT)
622	2025-09-06	0	22.74	THESSALONIKI (AIRPORT)	2025-09-04	48	22.2065	THESSALONIKI (AIRPORT)
622	2025-09-07	0	21.24	THESSALONIKI (AIRPORT)	2025-09-05	48	21.1513	THESSALONIKI (AIRPORT)
