obs_codes	obs_dates	obs_temp_table_h	obs_temp_table	obs_station_names	ecmwf_dates	ecmwf_temp_table_h	ecmwf_temp_table	ecmwf_station_names
606	2025-11-01	12	18.74	SERRAI	2025-11-01	12	20.3737	SERRAI
606	2025-11-02	12	21.44	SERRAI	2025-11-02	12	20.3583	SERRAI
606	2025-11-03	12	22.74	SERRAI	2025-11-03	12	20.165	SERRAI
606	2025-11-04	12	14.64	SERRAI	2025-11-04	12	14.4281	SERRAI
606	2025-11-05	12	18.44	SERRAI	2025-11-05	12	18.0934	SERRAI
606	2025-11-06	12	17.74	SERRAI	2025-11-06	12	17.2863	SERRAI
606	2025-11-07	12	16.74	SERRAI	2025-11-07	12	17.6693	SERRAI
606	2025-11-08	12	15.44	SERRAI	2025-11-08	12	17.3857	SERRAI
606	2025-11-09	12	19.24	SERRAI	2025-11-09	12	20.2206	SERRAI
606	2025-11-10	12	15.94	SERRAI	2025-11-10	12	15.4521	SERRAI
606	2025-11-11	12	19.74	SERRAI	2025-11-11	12	19.6798	SERRAI
606	2025-11-12	12	17.74	SERRAI	2025-11-12	12	16.3241	SERRAI
606	2025-11-13	12	15.94	SERRAI	2025-11-13	12	16.498	SERRAI
606	2025-11-14	12	16.94	SERRAI	2025-11-14	12	17.0917	SERRAI
606	2025-11-15	12	17.24	SERRAI	2025-11-15	12	17.0744	SERRAI
606	2025-11-16	12	17.74	SERRAI	2025-11-16	12	17.6725	SERRAI
606	2025-11-17	12	15.64	SERRAI	2025-11-17	12	18.7455	SERRAI
606	2025-11-18	12	13.44	SERRAI	2025-11-18	12	19.1637	SERRAI
606	2025-11-19	12	14.44	SERRAI	2025-11-19	12	16.2037	SERRAI
606	2025-11-20	12	16.24	SERRAI	2025-11-20	12	20.0948	SERRAI
606	2025-11-24	12	15.74	SERRAI	2025-11-24	12	14.8683	SERRAI
606	2025-11-25	12	11.64	SERRAI	2025-11-25	12	16.5512	SERRAI
606	2025-11-26	12	18.74	SERRAI	2025-11-26	12	18.3114	SERRAI
606	2025-11-27	12	18.24	SERRAI	2025-11-27	12	16.05	SERRAI
606	2025-11-28	12	12.64	SERRAI	2025-11-28	12	14.2992	SERRAI
613	2025-11-01	12	18.14	FLORINA	2025-11-01	12	17.445	FLORINA
613	2025-11-02	12	21.44	FLORINA	2025-11-02	12	18.6855	FLORINA
613	2025-11-03	12	19.74	FLORINA	2025-11-03	12	18.8124	FLORINA
613	2025-11-04	12	8.94	FLORINA	2025-11-04	12	9.47892	FLORINA
613	2025-11-05	12	10.74	FLORINA	2025-11-05	12	12.1745	FLORINA
613	2025-11-06	12	12.14	FLORINA	2025-11-06	12	13.005	FLORINA
613	2025-11-07	12	13.94	FLORINA	2025-11-07	12	15.3549	FLORINA
613	2025-11-08	12	15.94	FLORINA	2025-11-08	12	17.0741	FLORINA
613	2025-11-09	12	15.94	FLORINA	2025-11-09	12	17.2577	FLORINA
613	2025-11-10	12	12.24	FLORINA	2025-11-10	12	14.8564	FLORINA
613	2025-11-11	12	14.44	FLORINA	2025-11-11	12	12.5656	FLORINA
613	2025-11-12	12	14.74	FLORINA	2025-11-12	12	13.1552	FLORINA
613	2025-11-13	12	15.44	FLORINA	2025-11-13	12	14.6806	FLORINA
613	2025-11-14	12	15.44	FLORINA	2025-11-14	12	15.495	FLORINA
613	2025-11-15	12	15.64	FLORINA	2025-11-15	12	15.7785	FLORINA
613	2025-11-16	12	16.44	FLORINA	2025-11-16	12	15.8952	FLORINA
613	2025-11-17	12	19.64	FLORINA	2025-11-17	12	17.7856	FLORINA
613	2025-11-18	12	13.74	FLORINA	2025-11-18	12	15.9977	FLORINA
613	2025-11-19	12	10.44	FLORINA	2025-11-19	12	14.5777	FLORINA
613	2025-11-20	12	17.44	FLORINA	2025-11-20	12	16.6358	FLORINA
613	2025-11-21	12	13.94	FLORINA	2025-11-21	12	15.7046	FLORINA
613	2025-11-22	12	14.74	FLORINA	2025-11-22	12	14.4821	FLORINA
613	2025-11-23	12	12.64	FLORINA	2025-11-23	12	11.4804	FLORINA
613	2025-11-24	12	11.74	FLORINA	2025-11-24	12	11.1027	FLORINA
613	2025-11-25	12	11.14	FLORINA	2025-11-25	12	13.1411	FLORINA
613	2025-11-26	12	13.44	FLORINA	2025-11-26	12	13.3935	FLORINA
613	2025-11-27	12	10.24	FLORINA	2025-11-27	12	11.9865	FLORINA
613	2025-11-28	12	5.24	FLORINA	2025-11-28	12	5.71231	FLORINA
613	2025-11-29	12	7.14	FLORINA	2025-11-29	12	7.21158	FLORINA
613	2025-11-30	12	9.44	FLORINA	2025-11-30	12	8.84415	FLORINA
622	2025-11-01	12	17.94	THESSALONIKI (AIRPORT)	2025-11-01	12	19.8122	THESSALONIKI (AIRPORT)
622	2025-11-02	12	18.94	THESSALONIKI (AIRPORT)	2025-11-02	12	20.2655	THESSALONIKI (AIRPORT)
622	2025-11-03	12	19.44	THESSALONIKI (AIRPORT)	2025-11-03	12	19.787	THESSALONIKI (AIRPORT)
