obs_codes	obs_dates	obs_ws_table_h	obs_ws_table	obs_station_names	icon_dates	icon_ws_table_h	icon_ws_table	icon_station_names
606	2025-10-01	12	1	SERRAI	2025-10-01	12	1.32551	SERRAI
606	2025-10-02	12	1.5	SERRAI	2025-10-02	12	1.41881	SERRAI
606	2025-10-03	12	2.6	SERRAI	2025-10-03	12	1.75504	SERRAI
606	2025-10-04	12	3.6	SERRAI	2025-10-04	12	5.04757	SERRAI
606	2025-10-05	12	1.5	SERRAI	2025-10-05	12	1.93216	SERRAI
606	2025-10-06	12	0.5	SERRAI	2025-10-06	12	2.60681	SERRAI
606	2025-10-07	12	3.1	SERRAI	2025-10-07	12	1.47249	SERRAI
606	2025-10-08	12	3.6	SERRAI	2025-10-08	12	5.49618	SERRAI
606	2025-10-09	12	3.6	SERRAI	2025-10-09	12	5.74901	SERRAI
606	2025-10-10	12	3.1	SERRAI	2025-10-10	12	0.972331	SERRAI
606	2025-10-11	12	4.1	SERRAI	2025-10-11	12	7.19371	SERRAI
606	2025-10-12	12	3.1	SERRAI	2025-10-12	12	0.695339	SERRAI
606	2025-10-13	12	3.1	SERRAI	2025-10-13	12	0.693116	SERRAI
606	2025-10-14	12	1.5	SERRAI	2025-10-14	12	0.729291	SERRAI
606	2025-10-15	12	1	SERRAI	2025-10-15	12	1.00827	SERRAI
606	2025-10-16	12	1.5	SERRAI	2025-10-16	12	2.31219	SERRAI
606	2025-10-17	12	1	SERRAI	2025-10-17	12	0.975381	SERRAI
606	2025-10-18	12	1	SERRAI	2025-10-18	12	1.48443	SERRAI
606	2025-10-19	12	3.1	SERRAI	2025-10-19	12	1.24548	SERRAI
606	2025-10-20	12	1	SERRAI	2025-10-20	12	1.40887	SERRAI
606	2025-10-21	12	1.5	SERRAI	2025-10-21	12	0.267033	SERRAI
606	2025-10-22	12	0.5	SERRAI	2025-10-22	12	0.493543	SERRAI
606	2025-10-23	12	1	SERRAI	2025-10-23	12	0.741016	SERRAI
606	2025-10-24	12	0.5	SERRAI	2025-10-24	12	1.02928	SERRAI
606	2025-10-26	12	0.5	SERRAI	2025-10-26	12	1.41806	SERRAI
606	2025-10-27	12	0.5	SERRAI	2025-10-27	12	1.25092	SERRAI
606	2025-10-28	12	3.1	SERRAI	2025-10-28	12	5.39503	SERRAI
606	2025-10-29	12	1	SERRAI	2025-10-29	12	0.409813	SERRAI
606	2025-10-30	12	1	SERRAI	2025-10-30	12	0.668077	SERRAI
606	2025-10-31	12	0.5	SERRAI	2025-10-31	12	0.819128	SERRAI
613	2025-10-01	12	1	FLORINA	2025-10-01	12	2.33308	FLORINA
613	2025-10-02	12	2.6	FLORINA	2025-10-02	12	3.54616	FLORINA
613	2025-10-03	12	4.1	FLORINA	2025-10-03	12	3.95451	FLORINA
613	2025-10-04	12	2.6	FLORINA	2025-10-04	12	1.21198	FLORINA
613	2025-10-05	12	2.6	FLORINA	2025-10-05	12	2.05394	FLORINA
613	2025-10-06	12	6.2	FLORINA	2025-10-06	12	4.97761	FLORINA
613	2025-10-07	12	3.6	FLORINA	2025-10-07	12	5.32207	FLORINA
613	2025-10-08	12	6.2	FLORINA	2025-10-08	12	4.27169	FLORINA
613	2025-10-09	12	3.1	FLORINA	2025-10-09	12	2.5998	FLORINA
613	2025-10-10	12	3.6	FLORINA	2025-10-10	12	2.34556	FLORINA
613	2025-10-12	12	3.6	FLORINA	2025-10-12	12	2.9441	FLORINA
613	2025-10-13	12	2.6	FLORINA	2025-10-13	12	2.73443	FLORINA
613	2025-10-14	12	2.1	FLORINA	2025-10-14	12	2.1113	FLORINA
613	2025-10-15	12	0.5	FLORINA	2025-10-15	12	1.67164	FLORINA
613	2025-10-16	12	2.1	FLORINA	2025-10-16	12	2.7834	FLORINA
613	2025-10-17	12	2.6	FLORINA	2025-10-17	12	3.03192	FLORINA
613	2025-10-18	12	4.1	FLORINA	2025-10-18	12	2.09481	FLORINA
613	2025-10-19	12	2.6	FLORINA	2025-10-19	12	2.991	FLORINA
613	2025-10-20	12	2.6	FLORINA	2025-10-20	12	1.71097	FLORINA
613	2025-10-21	12	2.6	FLORINA	2025-10-21	12	2.44863	FLORINA
613	2025-10-22	12	2.6	FLORINA	2025-10-22	12	2.67622	FLORINA
613	2025-10-23	12	0	FLORINA	2025-10-23	12	1.38988	FLORINA
613	2025-10-24	12	5.7	FLORINA	2025-10-24	12	4.61334	FLORINA
