obs_codes	obs_dates	obs_ws_table_h	obs_ws_table	obs_station_names	ecmwf_dates	ecmwf_ws_table_h	ecmwf_ws_table	ecmwf_station_names
606	2025-11-02	9	0.5	SERRAI	2025-11-01	33	0.403093	SERRAI
606	2025-11-03	9	1	SERRAI	2025-11-02	33	0.487215	SERRAI
606	2025-11-04	9	0	SERRAI	2025-11-03	33	1.72202	SERRAI
606	2025-11-05	9	1	SERRAI	2025-11-04	33	1.00713	SERRAI
606	2025-11-06	9	0.5	SERRAI	2025-11-05	33	0.642199	SERRAI
606	2025-11-07	9	0	SERRAI	2025-11-06	33	1.30772	SERRAI
606	2025-11-08	9	1	SERRAI	2025-11-07	33	5.00079	SERRAI
606	2025-11-09	9	0.5	SERRAI	2025-11-08	33	0.917215	SERRAI
606	2025-11-10	9	0	SERRAI	2025-11-09	33	4.04579	SERRAI
606	2025-11-11	9	3.1	SERRAI	2025-11-10	33	3.45763	SERRAI
606	2025-11-12	9	0.5	SERRAI	2025-11-11	33	1.04817	SERRAI
606	2025-11-13	9	0.5	SERRAI	2025-11-12	33	0.499546	SERRAI
606	2025-11-14	9	0.5	SERRAI	2025-11-13	33	0.325068	SERRAI
606	2025-11-15	9	0.5	SERRAI	2025-11-14	33	0.14336	SERRAI
606	2025-11-16	9	1	SERRAI	2025-11-15	33	0.175775	SERRAI
606	2025-11-17	9	1	SERRAI	2025-11-16	33	2.43883	SERRAI
606	2025-11-18	9	0.5	SERRAI	2025-11-17	33	2.25975	SERRAI
606	2025-11-19	9	0.5	SERRAI	2025-11-18	33	2.32705	SERRAI
606	2025-11-20	9	0.5	SERRAI	2025-11-19	33	2.38525	SERRAI
606	2025-11-24	9	0.5	SERRAI	2025-11-23	33	1.02151	SERRAI
606	2025-11-25	9	1	SERRAI	2025-11-24	33	1.69348	SERRAI
606	2025-11-26	9	0.5	SERRAI	2025-11-25	33	3.60391	SERRAI
613	2025-11-02	9	1	FLORINA	2025-11-01	33	1.06189	FLORINA
613	2025-11-03	9	0.5	FLORINA	2025-11-02	33	2.54752	FLORINA
613	2025-11-04	9	3.6	FLORINA	2025-11-03	33	4.72973	FLORINA
613	2025-11-05	9	0.5	FLORINA	2025-11-04	33	3.45206	FLORINA
613	2025-11-06	9	0.5	FLORINA	2025-11-05	33	1.29966	FLORINA
613	2025-11-07	9	4.6	FLORINA	2025-11-06	33	3.90205	FLORINA
613	2025-11-08	9	1.5	FLORINA	2025-11-07	33	4.04844	FLORINA
613	2025-11-09	9	0	FLORINA	2025-11-08	33	2.47721	FLORINA
613	2025-11-10	9	1.5	FLORINA	2025-11-09	33	3.33347	FLORINA
613	2025-11-11	9	2.1	FLORINA	2025-11-10	33	0.967456	FLORINA
613	2025-11-12	9	1.5	FLORINA	2025-11-11	33	2.35294	FLORINA
613	2025-11-13	9	0.5	FLORINA	2025-11-12	33	0.886971	FLORINA
613	2025-11-14	9	0.5	FLORINA	2025-11-13	33	0.960432	FLORINA
613	2025-11-15	9	0.5	FLORINA	2025-11-14	33	1.14039	FLORINA
613	2025-11-16	9	0	FLORINA	2025-11-15	33	0.923169	FLORINA
613	2025-11-17	9	3.1	FLORINA	2025-11-16	33	3.46862	FLORINA
613	2025-11-18	9	4.1	FLORINA	2025-11-17	33	3.87785	FLORINA
613	2025-11-19	9	0	FLORINA	2025-11-18	33	1.84458	FLORINA
613	2025-11-20	9	4.1	FLORINA	2025-11-19	33	4.62447	FLORINA
613	2025-11-21	9	2	FLORINA	2025-11-20	33	4.70589	FLORINA
613	2025-11-22	9	8	FLORINA	2025-11-21	33	4.22311	FLORINA
613	2025-11-23	9	6	FLORINA	2025-11-22	33	3.55165	FLORINA
613	2025-11-24	9	2.1	FLORINA	2025-11-23	33	1.39203	FLORINA
613	2025-11-25	9	3.1	FLORINA	2025-11-24	33	3.76607	FLORINA
613	2025-11-26	9	5.1	FLORINA	2025-11-25	33	5.10097	FLORINA
613	2025-11-27	9	1.5	FLORINA	2025-11-26	33	1.7926	FLORINA
613	2025-11-28	9	2.6	FLORINA	2025-11-27	33	3.14885	FLORINA
613	2025-11-29	9	5	FLORINA	2025-11-28	33	3.27099	FLORINA
613	2025-11-30	9	2	FLORINA	2025-11-29	33	2.08645	FLORINA
622	2025-11-02	9	0.5	THESSALONIKI (AIRPORT)	2025-11-01	33	1.60823	THESSALONIKI (AIRPORT)
622	2025-11-03	9	2.1	THESSALONIKI (AIRPORT)	2025-11-02	33	1.04803	THESSALONIKI (AIRPORT)
622	2025-11-04	9	6.2	THESSALONIKI (AIRPORT)	2025-11-03	33	4.9098	THESSALONIKI (AIRPORT)
622	2025-11-05	9	6.2	THESSALONIKI (AIRPORT)	2025-11-04	33	4.26347	THESSALONIKI (AIRPORT)
622	2025-11-06	9	1	THESSALONIKI (AIRPORT)	2025-11-05	33	1.34957	THESSALONIKI (AIRPORT)
622	2025-11-07	9	1	THESSALONIKI (AIRPORT)	2025-11-06	33	1.20136	THESSALONIKI (AIRPORT)
622	2025-11-08	9	7.2	THESSALONIKI (AIRPORT)	2025-11-07	33	8.80411	THESSALONIKI (AIRPORT)
622	2025-11-09	9	2.6	THESSALONIKI (AIRPORT)	2025-11-08	33	0.802655	THESSALONIKI (AIRPORT)
622	2025-11-10	9	3.1	THESSALONIKI (AIRPORT)	2025-11-09	33	2.25574	THESSALONIKI (AIRPORT)
622	2025-11-11	9	3.6	THESSALONIKI (AIRPORT)	2025-11-10	33	4.93753	THESSALONIKI (AIRPORT)
622	2025-11-12	9	6.2	THESSALONIKI (AIRPORT)	2025-11-11	33	4.02303	THESSALONIKI (AIRPORT)
622	2025-11-13	9	2.6	THESSALONIKI (AIRPORT)	2025-11-12	33	1.8972	THESSALONIKI (AIRPORT)
622	2025-11-14	9	1.5	THESSALONIKI (AIRPORT)	2025-11-13	33	1.73793	THESSALONIKI (AIRPORT)
622	2025-11-15	9	1	THESSALONIKI (AIRPORT)	2025-11-14	33	1.08143	THESSALONIKI (AIRPORT)
622	2025-11-16	9	2.1	THESSALONIKI (AIRPORT)	2025-11-15	33	1.36782	THESSALONIKI (AIRPORT)
622	2025-11-17	9	1.5	THESSALONIKI (AIRPORT)	2025-11-16	33	2.4454	THESSALONIKI (AIRPORT)
622	2025-11-18	9	5.1	THESSALONIKI (AIRPORT)	2025-11-17	33	4.05373	THESSALONIKI (AIRPORT)
622	2025-11-19	9	3.1	THESSALONIKI (AIRPORT)	2025-11-18	33	1.25399	THESSALONIKI (AIRPORT)
