obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
606	2025-11-03	SERRAI	6	13	2025-11-03	6	0.998047
606	2025-11-04	SERRAI	6	100	2025-11-04	6	100
606	2025-11-05	SERRAI	6	100	2025-11-05	6	31.2383
606	2025-11-06	SERRAI	6	100	2025-11-06	6	99.0566
606	2025-11-07	SERRAI	6	63	2025-11-07	6	99.2715
606	2025-11-10	SERRAI	6	100	2025-11-10	6	92.5664
606	2025-11-11	SERRAI	6	25	2025-11-11	6	39.9043
606	2025-11-12	SERRAI	6	25	2025-11-12	6	12.8672
606	2025-11-13	SERRAI	6	0	2025-11-13	6	0.0175781
606	2025-11-14	SERRAI	6	0	2025-11-14	6	0.228516
606	2025-11-17	SERRAI	6	75	2025-11-17	6	100
606	2025-11-18	SERRAI	6	75	2025-11-18	6	100
606	2025-11-20	SERRAI	6	100	2025-11-20	6	98.0078
606	2025-11-24	SERRAI	6	0	2025-11-24	6	0
606	2025-11-25	SERRAI	6	50	2025-11-25	6	0.140625
606	2025-11-26	SERRAI	6	63	2025-11-26	6	89.2148
606	2025-11-27	SERRAI	6	100	2025-11-27	6	98.4375
606	2025-11-28	SERRAI	6	100	2025-11-28	6	100
622	2025-11-01	THESSALONIKI (AIRPORT)	6	63	2025-11-01	6	51.9805
622	2025-11-02	THESSALONIKI (AIRPORT)	6	38	2025-11-02	6	22.3594
622	2025-11-03	THESSALONIKI (AIRPORT)	6	25	2025-11-03	6	18.8027
622	2025-11-04	THESSALONIKI (AIRPORT)	6	88	2025-11-04	6	99.6309
622	2025-11-05	THESSALONIKI (AIRPORT)	6	100	2025-11-05	6	99.9902
622	2025-11-06	THESSALONIKI (AIRPORT)	6	88	2025-11-06	6	98.2949
622	2025-11-07	THESSALONIKI (AIRPORT)	6	75	2025-11-07	6	85.4648
622	2025-11-08	THESSALONIKI (AIRPORT)	6	88	2025-11-08	6	97.5469
622	2025-11-09	THESSALONIKI (AIRPORT)	6	75	2025-11-09	6	56.748
622	2025-11-10	THESSALONIKI (AIRPORT)	6	75	2025-11-10	6	99.8848
622	2025-11-11	THESSALONIKI (AIRPORT)	6	88	2025-11-11	6	39.5605
622	2025-11-12	THESSALONIKI (AIRPORT)	6	13	2025-11-12	6	2.5293
622	2025-11-13	THESSALONIKI (AIRPORT)	6	0	2025-11-13	6	19.3418
622	2025-11-14	THESSALONIKI (AIRPORT)	6	13	2025-11-14	6	26.1484
622	2025-11-15	THESSALONIKI (AIRPORT)	6	13	2025-11-15	6	34.1211
622	2025-11-16	THESSALONIKI (AIRPORT)	6	25	2025-11-16	6	52.209
622	2025-11-17	THESSALONIKI (AIRPORT)	6	88	2025-11-17	6	95.709
622	2025-11-18	THESSALONIKI (AIRPORT)	6	88	2025-11-18	6	100
622	2025-11-19	THESSALONIKI (AIRPORT)	6	88	2025-11-19	6	98.3223
622	2025-11-20	THESSALONIKI (AIRPORT)	6	88	2025-11-20	6	99.9883
622	2025-11-21	THESSALONIKI (AIRPORT)	6	63	2025-11-21	6	99.8047
622	2025-11-22	THESSALONIKI (AIRPORT)	6	25	2025-11-22	6	23.7305
622	2025-11-23	THESSALONIKI (AIRPORT)	6	38	2025-11-23	6	29.4863
622	2025-11-24	THESSALONIKI (AIRPORT)	6	13	2025-11-24	6	0
622	2025-11-25	THESSALONIKI (AIRPORT)	6	63	2025-11-25	6	7.31836
622	2025-11-26	THESSALONIKI (AIRPORT)	6	50	2025-11-26	6	81.4512
622	2025-11-27	THESSALONIKI (AIRPORT)	6	100	2025-11-27	6	100
622	2025-11-28	THESSALONIKI (AIRPORT)	6	88	2025-11-28	6	100
622	2025-11-29	THESSALONIKI (AIRPORT)	6	88	2025-11-29	6	98.0527
622	2025-11-30	THESSALONIKI (AIRPORT)	6	25	2025-11-30	6	2.81445
624	2025-11-01	CHRYSOPOULI (AIRPORT)	6	63	2025-11-01	6	74.8301
624	2025-11-02	CHRYSOPOULI (AIRPORT)	6	38	2025-11-02	6	29.5195
624	2025-11-03	CHRYSOPOULI (AIRPORT)	6	63	2025-11-03	6	22.8066
624	2025-11-04	CHRYSOPOULI (AIRPORT)	6	100	2025-11-04	6	99.9941
624	2025-11-05	CHRYSOPOULI (AIRPORT)	6	88	2025-11-05	6	99.9961
624	2025-11-06	CHRYSOPOULI (AIRPORT)	6	100	2025-11-06	6	100
