obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	icon_dates	icon_tcc_table_h	icon_tcc_table
622	2025-11-01	THESSALONIKI (AIRPORT)	3	38	2025-11-01	3	99.8828
622	2025-11-02	THESSALONIKI (AIRPORT)	3	25	2025-11-02	3	71.6465
622	2025-11-03	THESSALONIKI (AIRPORT)	3	75	2025-11-03	3	41.1836
622	2025-11-04	THESSALONIKI (AIRPORT)	3	88	2025-11-04	3	99.4883
622	2025-11-05	THESSALONIKI (AIRPORT)	3	100	2025-11-05	3	99.3496
622	2025-11-06	THESSALONIKI (AIRPORT)	3	88	2025-11-06	3	94.7734
622	2025-11-07	THESSALONIKI (AIRPORT)	3	88	2025-11-07	3	100
622	2025-11-08	THESSALONIKI (AIRPORT)	3	75	2025-11-08	3	100
622	2025-11-09	THESSALONIKI (AIRPORT)	3	88	2025-11-09	3	100
622	2025-11-10	THESSALONIKI (AIRPORT)	3	100	2025-11-10	3	100
622	2025-11-11	THESSALONIKI (AIRPORT)	3	88	2025-11-11	3	95.7031
622	2025-11-12	THESSALONIKI (AIRPORT)	3	13	2025-11-12	3	0
622	2025-11-13	THESSALONIKI (AIRPORT)	3	13	2025-11-13	3	0
622	2025-11-14	THESSALONIKI (AIRPORT)	3	13	2025-11-14	3	0
622	2025-11-15	THESSALONIKI (AIRPORT)	3	13	2025-11-15	3	3.23242
622	2025-11-16	THESSALONIKI (AIRPORT)	3	50	2025-11-16	3	42.8887
622	2025-11-17	THESSALONIKI (AIRPORT)	3	75	2025-11-17	3	85.2578
622	2025-11-18	THESSALONIKI (AIRPORT)	3	63	2025-11-18	3	100
622	2025-11-19	THESSALONIKI (AIRPORT)	3	63	2025-11-19	3	100
622	2025-11-20	THESSALONIKI (AIRPORT)	3	100	2025-11-20	3	100
622	2025-11-21	THESSALONIKI (AIRPORT)	3	63	2025-11-21	3	92.5605
622	2025-11-22	THESSALONIKI (AIRPORT)	3	25	2025-11-22	3	65.8828
622	2025-11-23	THESSALONIKI (AIRPORT)	3	38	2025-11-23	3	81.1523
622	2025-11-24	THESSALONIKI (AIRPORT)	3	13	2025-11-24	3	0
622	2025-11-25	THESSALONIKI (AIRPORT)	3	38	2025-11-25	3	100
622	2025-11-26	THESSALONIKI (AIRPORT)	3	63	2025-11-26	3	100
622	2025-11-27	THESSALONIKI (AIRPORT)	3	100	2025-11-27	3	100
622	2025-11-28	THESSALONIKI (AIRPORT)	3	88	2025-11-28	3	100
622	2025-11-29	THESSALONIKI (AIRPORT)	3	100	2025-11-29	3	98.207
622	2025-11-30	THESSALONIKI (AIRPORT)	3	13	2025-11-30	3	85.9062
624	2025-11-27	CHRYSOPOULI (AIRPORT)	3	75	2025-11-27	3	100
624	2025-11-28	CHRYSOPOULI (AIRPORT)	3	50	2025-11-28	3	100
624	2025-11-30	CHRYSOPOULI (AIRPORT)	3	13	2025-11-30	3	31.1719
627	2025-11-01	ALEXANDROUPOLI (AIRPORT)	3	13	2025-11-01	3	30.2285
627	2025-11-02	ALEXANDROUPOLI (AIRPORT)	3	38	2025-11-02	3	64.5547
627	2025-11-03	ALEXANDROUPOLI (AIRPORT)	3	50	2025-11-03	3	100
627	2025-11-04	ALEXANDROUPOLI (AIRPORT)	3	75	2025-11-04	3	100
627	2025-11-05	ALEXANDROUPOLI (AIRPORT)	3	88	2025-11-05	3	97.1152
627	2025-11-06	ALEXANDROUPOLI (AIRPORT)	3	100	2025-11-06	3	97.8242
627	2025-11-07	ALEXANDROUPOLI (AIRPORT)	3	63	2025-11-07	3	78.3867
627	2025-11-08	ALEXANDROUPOLI (AIRPORT)	3	63	2025-11-08	3	100
627	2025-11-09	ALEXANDROUPOLI (AIRPORT)	3	100	2025-11-09	3	100
627	2025-11-10	ALEXANDROUPOLI (AIRPORT)	3	50	2025-11-10	3	100
627	2025-11-11	ALEXANDROUPOLI (AIRPORT)	3	50	2025-11-11	3	100
627	2025-11-12	ALEXANDROUPOLI (AIRPORT)	3	50	2025-11-12	3	55.377
627	2025-11-13	ALEXANDROUPOLI (AIRPORT)	3	0	2025-11-13	3	0
627	2025-11-14	ALEXANDROUPOLI (AIRPORT)	3	0	2025-11-14	3	0.0664062
627	2025-11-15	ALEXANDROUPOLI (AIRPORT)	3	25	2025-11-15	3	0.123047
627	2025-11-16	ALEXANDROUPOLI (AIRPORT)	3	25	2025-11-16	3	79
627	2025-11-17	ALEXANDROUPOLI (AIRPORT)	3	50	2025-11-17	3	8.77539
627	2025-11-18	ALEXANDROUPOLI (AIRPORT)	3	63	2025-11-18	3	80.8789
627	2025-11-19	ALEXANDROUPOLI (AIRPORT)	3	88	2025-11-19	3	100
627	2025-11-20	ALEXANDROUPOLI (AIRPORT)	3	63	2025-11-20	3	100
627	2025-11-21	ALEXANDROUPOLI (AIRPORT)	3	75	2025-11-21	3	100
627	2025-11-22	ALEXANDROUPOLI (AIRPORT)	3	63	2025-11-22	3	14.9727
627	2025-11-23	ALEXANDROUPOLI (AIRPORT)	3	75	2025-11-23	3	100
627	2025-11-24	ALEXANDROUPOLI (AIRPORT)	3	25	2025-11-24	3	0
627	2025-11-25	ALEXANDROUPOLI (AIRPORT)	3	0	2025-11-25	3	85.9961
627	2025-11-26	ALEXANDROUPOLI (AIRPORT)	3	100	2025-11-26	3	94.5098
627	2025-11-27	ALEXANDROUPOLI (AIRPORT)	3	75	2025-11-27	3	49.0527
