obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	icon_dates	icon_td_table_h	icon_td_table
606	2025-11-01	SERRAI	9	9.75	2025-11-01	9	9.26292
606	2025-11-02	SERRAI	9	9.95	2025-11-02	9	8.44919
606	2025-11-03	SERRAI	9	9.95	2025-11-03	9	8.50505
606	2025-11-04	SERRAI	9	15.15	2025-11-04	9	12.7214
606	2025-11-05	SERRAI	9	12.45	2025-11-05	9	10.6231
606	2025-11-06	SERRAI	9	11.45	2025-11-06	9	11.9382
606	2025-11-07	SERRAI	9	11.45	2025-11-07	9	11.7151
606	2025-11-08	SERRAI	9	12.95	2025-11-08	9	12.7708
606	2025-11-09	SERRAI	9	14.95	2025-11-09	9	13.3371
606	2025-11-10	SERRAI	9	14.65	2025-11-10	9	15.5834
606	2025-11-11	SERRAI	9	11.45	2025-11-11	9	9.5365
606	2025-11-12	SERRAI	9	7.75	2025-11-12	9	6.47012
606	2025-11-13	SERRAI	9	7.75	2025-11-13	9	6.18848
606	2025-11-14	SERRAI	9	7.75	2025-11-14	9	6.24762
606	2025-11-15	SERRAI	9	7.95	2025-11-15	9	7.22005
606	2025-11-16	SERRAI	9	8.75	2025-11-16	9	6.30387
606	2025-11-17	SERRAI	9	9.25	2025-11-17	9	8.54776
606	2025-11-18	SERRAI	9	12.75	2025-11-18	9	12.4162
606	2025-11-19	SERRAI	9	14.25	2025-11-19	9	14.0767
606	2025-11-20	SERRAI	9	13.95	2025-11-20	9	13.3806
606	2025-11-24	SERRAI	9	5.15	2025-11-24	9	4.80353
606	2025-11-25	SERRAI	9	5.25	2025-11-25	9	2.92924
606	2025-11-26	SERRAI	9	10.75	2025-11-26	9	10.2421
606	2025-11-27	SERRAI	9	14.45	2025-11-27	9	14.0902
606	2025-11-28	SERRAI	9	10.45	2025-11-28	9	11.9475
613	2025-11-01	FLORINA	9	8.45	2025-11-01	9	6.09886
613	2025-11-02	FLORINA	9	9.65	2025-11-02	9	10.2754
613	2025-11-03	FLORINA	9	10.65	2025-11-03	9	11.009
613	2025-11-05	FLORINA	9	6.95	2025-11-05	9	4.81256
613	2025-11-06	FLORINA	9	9.25	2025-11-06	9	7.52711
613	2025-11-07	FLORINA	9	9.75	2025-11-07	9	8.36642
613	2025-11-09	FLORINA	9	11.75	2025-11-09	9	10.3469
613	2025-11-10	FLORINA	9	12.95	2025-11-10	9	11.1801
613	2025-11-11	FLORINA	9	10.25	2025-11-11	9	8.98474
613	2025-11-12	FLORINA	9	5.65	2025-11-12	9	6.85294
613	2025-11-13	FLORINA	9	3.25	2025-11-13	9	3.12109
613	2025-11-14	FLORINA	9	5.25	2025-11-14	9	4.86285
613	2025-11-15	FLORINA	9	4.95	2025-11-15	9	4.50911
613	2025-11-16	FLORINA	9	3.95	2025-11-16	9	4.29508
613	2025-11-17	FLORINA	9	4.95	2025-11-17	9	6.6669
613	2025-11-18	FLORINA	9	10.15	2025-11-18	9	9.83025
613	2025-11-20	FLORINA	9	9.45	2025-11-20	9	9.92557
613	2025-11-21	FLORINA	9	11.25	2025-11-21	9	10.1748
613	2025-11-22	FLORINA	9	7.75	2025-11-22	9	8.5742
613	2025-11-23	FLORINA	9	3.45	2025-11-23	9	3.77979
613	2025-11-24	FLORINA	9	1.25	2025-11-24	9	1.15314
613	2025-11-25	FLORINA	9	3.45	2025-11-25	9	4.22905
613	2025-11-26	FLORINA	9	8.75	2025-11-26	9	7.69322
613	2025-11-29	FLORINA	9	5.25	2025-11-29	9	3.31943
613	2025-11-30	FLORINA	9	4.45	2025-11-30	9	2.27505
622	2025-11-01	THESSALONIKI (AIRPORT)	9	14.65	2025-11-01	9	12.8518
622	2025-11-02	THESSALONIKI (AIRPORT)	9	12.25	2025-11-02	9	12.2402
622	2025-11-03	THESSALONIKI (AIRPORT)	9	11.95	2025-11-03	9	11.0939
622	2025-11-04	THESSALONIKI (AIRPORT)	9	14.45	2025-11-04	9	10.5495
622	2025-11-05	THESSALONIKI (AIRPORT)	9	9.95	2025-11-05	9	9.48737
622	2025-11-06	THESSALONIKI (AIRPORT)	9	12.15	2025-11-06	9	11.6814
622	2025-11-07	THESSALONIKI (AIRPORT)	9	10.95	2025-11-07	9	11.8195
622	2025-11-08	THESSALONIKI (AIRPORT)	9	13.95	2025-11-08	9	13.6604
622	2025-11-09	THESSALONIKI (AIRPORT)	9	16.75	2025-11-09	9	14.8293
622	2025-11-10	THESSALONIKI (AIRPORT)	9	16.25	2025-11-10	9	15.2582
622	2025-11-11	THESSALONIKI (AIRPORT)	9	11.25	2025-11-11	9	8.89197
622	2025-11-12	THESSALONIKI (AIRPORT)	9	4.95	2025-11-12	9	5.41055
622	2025-11-13	THESSALONIKI (AIRPORT)	9	8.15	2025-11-13	9	8.68164
622	2025-11-14	THESSALONIKI (AIRPORT)	9	10.25	2025-11-14	9	8.5152
622	2025-11-15	THESSALONIKI (AIRPORT)	9	8.95	2025-11-15	9	8.33626
622	2025-11-16	THESSALONIKI (AIRPORT)	9	10.65	2025-11-16	9	10.1281
622	2025-11-17	THESSALONIKI (AIRPORT)	9	13.45	2025-11-17	9	12.0048
622	2025-11-18	THESSALONIKI (AIRPORT)	9	15.75	2025-11-18	9	13.7072
622	2025-11-19	THESSALONIKI (AIRPORT)	9	15.65	2025-11-19	9	14.939
622	2025-11-20	THESSALONIKI (AIRPORT)	9	15.95	2025-11-20	9	14.2146
622	2025-11-21	THESSALONIKI (AIRPORT)	9	16.75	2025-11-21	9	14.8565
622	2025-11-22	THESSALONIKI (AIRPORT)	9	16.45	2025-11-22	9	13.957
622	2025-11-23	THESSALONIKI (AIRPORT)	9	6.65	2025-11-23	9	7.96436
622	2025-11-24	THESSALONIKI (AIRPORT)	9	2.45	2025-11-24	9	5.4881
622	2025-11-25	THESSALONIKI (AIRPORT)	9	8.75	2025-11-25	9	8.1812
622	2025-11-26	THESSALONIKI (AIRPORT)	9	13.45	2025-11-26	9	13.16
622	2025-11-27	THESSALONIKI (AIRPORT)	9	16.45	2025-11-27	9	13.3978
622	2025-11-28	THESSALONIKI (AIRPORT)	9	11.95	2025-11-28	9	11.9719
622	2025-11-29	THESSALONIKI (AIRPORT)	9	9.65	2025-11-29	9	8.46298
622	2025-11-30	THESSALONIKI (AIRPORT)	9	2.65	2025-11-30	9	2.39908
624	2025-11-01	CHRYSOPOULI (AIRPORT)	9	14.95	2025-11-01	9	9.69164
624	2025-11-02	CHRYSOPOULI (AIRPORT)	9	13.65	2025-11-02	9	11.3154
624	2025-11-03	CHRYSOPOULI (AIRPORT)	9	14.75	2025-11-03	9	10.7541
624	2025-11-04	CHRYSOPOULI (AIRPORT)	9	14.95	2025-11-04	9	13.5486
624	2025-11-05	CHRYSOPOULI (AIRPORT)	9	13.45	2025-11-05	9	10.7628
624	2025-11-06	CHRYSOPOULI (AIRPORT)	9	10.95	2025-11-06	9	9.53297
624	2025-11-07	CHRYSOPOULI (AIRPORT)	9	14.25	2025-11-07	9	11.8362
624	2025-11-08	CHRYSOPOULI (AIRPORT)	9	16.95	2025-11-08	9	13.1145
624	2025-11-09	CHRYSOPOULI (AIRPORT)	9	18.25	2025-11-09	9	13.798
624	2025-11-10	CHRYSOPOULI (AIRPORT)	9	16.65	2025-11-10	9	16.1859
624	2025-11-11	CHRYSOPOULI (AIRPORT)	9	15.45	2025-11-11	9	13.015
624	2025-11-12	CHRYSOPOULI (AIRPORT)	9	11.95	2025-11-12	9	11.1127
624	2025-11-13	CHRYSOPOULI (AIRPORT)	9	11.75	2025-11-13	9	9.37695
624	2025-11-14	CHRYSOPOULI (AIRPORT)	9	12.65	2025-11-14	9	7.82281
624	2025-11-15	CHRYSOPOULI (AIRPORT)	9	13.45	2025-11-15	9	9.20442
624	2025-11-16	CHRYSOPOULI (AIRPORT)	9	12.65	2025-11-16	9	10.299
624	2025-11-17	CHRYSOPOULI (AIRPORT)	9	14.25	2025-11-17	9	11.664
624	2025-11-18	CHRYSOPOULI (AIRPORT)	9	16.95	2025-11-18	9	13.7287
624	2025-11-19	CHRYSOPOULI (AIRPORT)	9	16.75	2025-11-19	9	15.5425
624	2025-11-20	CHRYSOPOULI (AIRPORT)	9	16.45	2025-11-20	9	15.4578
624	2025-11-21	CHRYSOPOULI (AIRPORT)	9	17.95	2025-11-21	9	15.6719
624	2025-11-22	CHRYSOPOULI (AIRPORT)	9	18.25	2025-11-22	9	16.2519
624	2025-11-23	CHRYSOPOULI (AIRPORT)	9	13.45	2025-11-23	9	14.1929
624	2025-11-24	CHRYSOPOULI (AIRPORT)	9	5.15	2025-11-24	9	5.47345
624	2025-11-25	CHRYSOPOULI (AIRPORT)	9	9.45	2025-11-25	9	6.73003
624	2025-11-26	CHRYSOPOULI (AIRPORT)	9	15.45	2025-11-26	9	13.5536
624	2025-11-27	CHRYSOPOULI (AIRPORT)	9	15.65	2025-11-27	9	15.6332
624	2025-11-28	CHRYSOPOULI (AIRPORT)	9	14.45	2025-11-28	9	13.2825
624	2025-11-29	CHRYSOPOULI (AIRPORT)	9	10.65	2025-11-29	9	11.006
624	2025-11-30	CHRYSOPOULI (AIRPORT)	9	9.75	2025-11-30	9	7.82486
627	2025-11-01	ALEXANDROUPOLI (AIRPORT)	9	12.65	2025-11-01	9	12.2668
627	2025-11-02	ALEXANDROUPOLI (AIRPORT)	9	14.95	2025-11-02	9	9.98044
627	2025-11-03	ALEXANDROUPOLI (AIRPORT)	9	13.75	2025-11-03	9	12.5881
627	2025-11-04	ALEXANDROUPOLI (AIRPORT)	9	14.15	2025-11-04	9	13.4079
627	2025-11-05	ALEXANDROUPOLI (AIRPORT)	9	10.25	2025-11-05	9	9.75299
627	2025-11-06	ALEXANDROUPOLI (AIRPORT)	9	9.15	2025-11-06	9	9.43141
627	2025-11-07	ALEXANDROUPOLI (AIRPORT)	9	12.75	2025-11-07	9	12.3401
627	2025-11-08	ALEXANDROUPOLI (AIRPORT)	9	15.75	2025-11-08	9	14.9309
627	2025-11-09	ALEXANDROUPOLI (AIRPORT)	9	18.25	2025-11-09	9	17.2199
627	2025-11-10	ALEXANDROUPOLI (AIRPORT)	9	16.75	2025-11-10	9	15.3207
627	2025-11-11	ALEXANDROUPOLI (AIRPORT)	9	18.45	2025-11-11	9	14.5424
627	2025-11-12	ALEXANDROUPOLI (AIRPORT)	9	9.15	2025-11-12	9	7.9838
627	2025-11-13	ALEXANDROUPOLI (AIRPORT)	9	9.95	2025-11-13	9	7.8916
627	2025-11-14	ALEXANDROUPOLI (AIRPORT)	9	11.25	2025-11-14	9	8.65582
